Registrar,Enrolment Agency,State,District,Sub District,Pin Code,Gender,Age,Aadhaar generated,Enrolment Rejected,Residents providing email,Residents providing mobile number
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Gonda,Colonelganj,271502,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,222139,F,62,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,11,2,0,0,2
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Jaunpur,Shahganj,223101,F,13,2,0,0,2
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251314,F,5,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251315,M,7,1,0,0,1
ALLAHABAD BANK_NEW_661,Asha Security Guard Services,Uttar Pradesh,Muzaffarnagar,Jansath,251316,M,48,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Bongaigaon,Bongaigaon,783380,M,56,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Bihar,Muzaffarpur,Bochaha,843103,M,4,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Bihar,Muzaffarpur,Musahri,842002,F,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400055,F,29,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Borivali,400101,M,4,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Nagpur,Nagpur (rural),440034,M,1,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Raigarh,Sudhagad,410205,F,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Bhiwandi,421302,F,59,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Gorakhpur,Khajni,273212,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Gorakhpur,Sahjanwa,273209,F,12,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285202,F,7,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285204,F,6,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Madhogarh,285121,F,8,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Orai,285001,F,35,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kanpur Nagar,Bilhaur,208025,F,33,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Dhaurahara,262722,F,3,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Lakhimpur,262728,M,42,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Mohammdi,262804,F,4,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Mohammdi,262804,F,8,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kheri,Mohammdi,262804,F,26,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Kushinagar,Padrauna,274304,F,2,2,0,0,2
