 Chief Registrar Births & Deaths -cum-Director Health Services ,District Registrar Births & Deaths cum Chief Medical Officer  Solan,Himachal Pradesh,Solan,Solan,173206,M,0,0,1,0,0
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Duliajan,786692,M,57,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Naharkatiya,786610,M,18,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,M,24,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Tengakhat,786602,M,55,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Jorhat,Jorhat East,785001,M,6,1,0,1,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Dispur,781008,M,47,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781001,M,44,1,0,0,1
ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Kamrup Metro,Guwahati,781025,M,55,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Assam,Udalguri,Dhekiajuli,784117,M,23,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Bihar,Patna,Patna Sadar,800003,F,11,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Ahmadnagar,Shrigonda,413701,M,26,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400050,M,42,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Andheri,400051,F,37,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Mumbai Suburban,Borivali,400092,M,47,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421201,M,2,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421202,M,33,1,0,1,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421202,M,51,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,M,2,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Maharashtra,Thane,Kalyan,421301,M,28,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Banda,Naraini,210129,F,19,1,0,0,0
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Banda,Naraini,210129,M,2,1,0,0,0
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Banda,Naraini,210129,M,35,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,Uttar Pradesh,Jalaun,Kalpi,285203,F,21,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Howrah,Haora,711114,F,10,0,1,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Kolkata,Circus Avenue,700060,M,40,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Kolkata,Circus Avenue,700060,M,46,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Malda,Bamangola,732147,F,9,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Nadia,Tehatta - I,741160,M,30,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,North 24 Parganas,North 24 Paraganas,700116,M,25,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,North 24 Parganas,North 24 Paraganas,700122,M,10,1,0,0,1
ALLAHABAD BANK_NEW_661,IPS e Services Pvt Ltd,West Bengal,Paschim Medinipur,Ghatal,721212,M,20,1,0,0,1
ALLAHABAD BANK_NEW_661,RS ENTERPRISES,Rajasthan,Kota,Ladpura,324005,F,40,0,1,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,East Godavari,Kadiam,533125,F,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,East Godavari,Rajamahendravaram (urban),533103,F,0,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Guntur,Guntur,522001,F,2,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Guntur,Guntur,522001,M,2,1,0,0,1
Andhra Bank,United Telecoms Ltd,Andhra Pradesh,Guntur,Guntur,522001,M,29,1,0,0,1
