ALLAHABAD BANK_NEW_661,DARWIN SOCIETY,Assam,Dibrugarh,Dibrugarh West,786001,F,32,1,0,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Hyderabad,Charminar,500065,M,3,0,1,0,1
Andhra Bank,United Telecoms Ltd,Telangana,Nalgonda,Nalgonda,508001,M,2,0,1,0,1
Andhra Bank,United Telecoms Ltd,West Bengal,North 24 Parganas,North 24 Paraganas,700136,F,12,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Ramachandrapuram,533255,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Ramachandrapuram,533262,F,0,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,East Godavari,Rayavaram,533261,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Anakapalle,531031,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,0,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,1,2,0,0,2
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Andhra Pradesh,Visakhapatnam,Kasimkota,531031,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Hyderabad,Tirumalagiri,500015,F,4,1,0,1,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Gadwal,509125,F,4,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Gadwal,509125,M,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,F,2,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,F,3,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,F,38,1,0,1,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,M,5,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Mahbubnagar,509001,M,7,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Mahabubnagar,Wanaparthy,509103,M,1,1,0,0,1
Andhra Bank,Virinchi Technologies Ltd,Telangana,Nalgonda,Miryalaguda,508207,M,2,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Bihar,Nalanda,Rahui,803119,F,29,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Badami,587206,M,4,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Bilagi,587116,F,19,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587301,F,20,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587301,M,4,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587301,M,60,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Jamakhandi,587330,F,2,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Bagalkot,Mudhol,587122,M,38,1,0,0,1
Atalji Janasnehi Directorate  Government of Karnataka,Atalji Janasnehi Directorate  GOK,Karnataka,Ballari,Hadagali,583216,F,5,0,1,0,1
