1516524400
Andaman and Nicobar Islands,120
Andhra Pradesh,4035
Arunachal Pradesh,860
Assam,1167
Bihar,21749
Chandigarh,208
Chhattisgarh,2314
Dadra and Nagar Haveli,85
Daman and Diu,41
Delhi,1697
Goa,156
Gujarat,10810
Haryana,2208
Himachal Pradesh,599
Jammu and Kashmir,6246
Jharkhand,3174
Karnataka,9813
Kerala,5446
Lakshadweep,19
Madhya Pradesh,8828
Maharashtra,11529
Manipur,947
Meghalaya,825
Mizoram,603
Nagaland,347
Odisha,10240
Others,28
Puducherry,89
Punjab,3305
Rajasthan,9673
Sikkim,37
Tamil Nadu,9761
Telangana,3272
Tripura,373
Uttar Pradesh,28380
Uttarakhand,603
West Bengal,16476
1516524545

