
11.5837290287
Pho-com-net Pvt. Ltd.,199
M/s AFORESERVE.COM LTD,1385
Ojus Healthcare Private Limited,1894
Mphasis Ltd,0
SHREERAM PRINTING PRESS,0
Axis Bank Ltd,451
Special Secretary Home Govt. of Manipur,41
Asha Security Guard Services,6715
Care Educational & Welfare Society,528
Abhipra Capital Ltd,100
District Registrar Births & Deaths cum Chief Medical Officer Kangra,14
Netwing Technologies Pvt Ltd,0
RELIGARE SECURITIES LTD,4215
K W Consulting P Ltd,0
SVG Express Services Pvt Ltd,1446
Late Smt. Nirmala Singh Seva Samiti,3305
Eagle press pvt ltd,0
SREEVEN INFOCOM LIMITED,458
CO  SARLI,91
Vayam technologies Ltd,931
ADC Tobu,28
Wipro Ltd,5583
Department of Information Technology and e-Gov  Government of Jharkhand,1268
HI-TECH CONTROLS,981
The chief postmaster General Odisha Circle Bhubaneswar,0
DHS  A&N Islands,79
CSC e Gov,3933
Citizencenter Technologies Pvt Ltd,818
Seva Society Collector Kutch,2502
DC  Phek,50
i-Grandee SoftwareTechnologies,0
District Magistrate & Collector Sepahijala District,321
South Indian Bank,385
State Health Society,752
SWISSTECH NPR 57CR PROJECT PVT,0
District IT Society Mahendragarh,344
CO REBO PERGING,6
ICICI Bank Ltd,91
Nekton IT India Pvt Ltd.,488
J & K Bank,1611
Department of WCD  Haryana,249
Kotak Mahindra Bank,612
A3 Logics  India  Ltd,0
District Family and Welfare Society  Kaithal,31
Punjab State e- Governance Society,16292
Ninestars Information Technologies Ltd,0
EXTRA ASSISTANT COMMISSIONER DIYUN,534
GSS Infotech Ltd,0
District Family and Welfare Society  Karnal,17
KDS Services Private Limited,10
Omnitech Infosolutions Ltd,67
Tamil Nadu Mercantile Bank,54
Advent Infomax Private Ltd,41
ADC Bhandari,48
DC Kohima,533
VISESH INFOTECNICS LIMITED,4
WEBEL,0
PROWIZ MANSYTEMS PVT LTD,0
Chief Post Master General  Maharashtra Circle Mumbai,25
Vansh Infotech Pvt Ltd,0
Keltron,0
Rosmerta technoliges Limited,0
Deputy Commissioner  Lawngtlai,1225
District Sukhmani Society For Citizen Services Mansa Punjab,181
Deptt Of Economics & Statistics Tirap,496
MPOnline Limited,14581
District IT Society Sonipat,194
4G IDENTITY SOLUTIONS,0
District Family & Welfare Society Rewari,37
Akanksha International,0
Offshoot Agency Pvt. Ltd.,46
Bloom Solutions Pvt Ltd,4321
District IT Society Rohtak,110
EAC PEGING BOTE,38
Tera Software Ltd,2
ADC RUMGONG,8
District Health and Family Welfare Society  Jhajjar,12
Mahisagar Lunawala,765
District Registrar Births & Deaths cum Chief Medical Officer Kullu,8
Prodigy Systems and Services Private Limited,0
SUNNY CONTRACTORS & ENGINEERS PVT LTD,1313
