
15.6633448601
(u'Assam', '0-10'),376
(u'Karnataka', '40-50'),4310
(u'Haryana', '10-20'),723
(u'Himachal Pradesh', '60+'),74
(u'Lakshadweep', '0-10'),69
(u'Others', '10-20'),48
(u'Madhya Pradesh', '50-60'),1577
(u'Madhya Pradesh', 'NULL'),0
(u'Rajasthan', '40-50'),1538
(u'Odisha', '30-40'),1673
(u'Punjab', '40-50'),1525
(u'Goa', '10-20'),104
(u'Arunachal Pradesh', '60+'),231
(u'Uttar Pradesh', '20-30'),21747
(u'Karnataka', '0-10'),32496
(u'Haryana', '0-10'),5106
(u'Jharkhand', '20-30'),1242
(u'Punjab', '10-20'),981
(u'Lakshadweep', '20-30'),9
(u'Kerala', 'NULL'),0
(u'Chandigarh', '0-10'),800
(u'Himachal Pradesh', '30-40'),148
(u'Madhya Pradesh', '0-10'),20101
(u'Andhra Pradesh', '10-20'),508
(u'Gujarat', '20-30'),12968
(u'Tamil Nadu', '10-20'),4056
(u'Madhya Pradesh', '10-20'),6407
(u'Uttarakhand', '60+'),163
(u'Puducherry', '20-30'),68
(u'Arunachal Pradesh', '30-40'),350
(u'Uttar Pradesh', 'NULL'),0
(u'Dadra and Nagar Haveli', '0-10'),176
(u'Uttarakhand', '20-30'),635
(u'Kerala', '10-20'),1004
(u'Nagaland', '50-60'),122
(u'Andaman and Nicobar Islands', '50-60'),31
(u'Andhra Pradesh', '0-10'),17780
(u'Himachal Pradesh', '10-20'),155
(u'Assam', '30-40'),3365
(u'Telangana', '40-50'),785
(u'Punjab', '30-40'),2223
(u'Mizoram', '40-50'),269
(u'Chhattisgarh', '50-60'),240
(u'Jharkhand', '10-20'),1274
(u'Punjab', '60+'),2042
(u'Rajasthan', '20-30'),6615
(u'Arunachal Pradesh', '20-30'),670
(u'Andhra Pradesh', '30-40'),907
(u'Delhi', 'NULL'),0
(u'Punjab', '0-10'),11301
(u'Chandigarh', '50-60'),46
(u'Andhra Pradesh', '40-50'),569
(u'Haryana', '20-30'),1093
(u'Lakshadweep', '60+'),4
(u'Tripura', '0-10'),1050
(u'Mizoram', '10-20'),661
(u'Kerala', '40-50'),4900
