
10.7457289696
Kerala,5606
Delhi,1859
Daman and Diu,42
Manipur,976
Others,32
Tripura,378
Andhra Pradesh,4230
Maharashtra,12040
Tamil Nadu,10202
Jharkhand,3394
Uttarakhand,650
Arunachal Pradesh,881
Rajasthan,10583
Karnataka,10330
Haryana,2316
Andaman and Nicobar Islands,132
Puducherry,92
Assam,1252
Punjab,3496
Chhattisgarh,2485
Chandigarh,218
West Bengal,17216
Lakshadweep,20
Himachal Pradesh,620
Sikkim,41
Madhya Pradesh,9743
Meghalaya,981
Bihar,23331
Mizoram,610
Nagaland,355
Telangana,3465
Goa,158
Jammu and Kashmir,6683
Odisha,11223
Uttar Pradesh,30514
Dadra and Nagar Haveli,88
Gujarat,11608
