
12.3235161304
Kerala 49146
Delhi 11372
Daman and Diu 326
Manipur 9549
Others 681
Tripura 2489
Andhra Pradesh 22862
Maharashtra 85009
Tamil Nadu 75265
Jharkhand 16802
Uttarakhand 3563
Arunachal Pradesh 7881
Rajasthan 79403
Karnataka 69355
Haryana 9548
Andaman and Nicobar Islands 999
Puducherry 766
Assam 19761
Punjab 29236
Chhattisgarh 14317
Chandigarh 1708
West Bengal 75145
Lakshadweep 102
Himachal Pradesh 3051
Sikkim 211
Madhya Pradesh 46973
Meghalaya 35110
Bihar 144475
Mizoram 5081
Nagaland 3897
Telangana 18416
Goa 1188
Jammu and Kashmir 43881
Odisha 42705
Uttar Pradesh 189513
Dadra and Nagar Haveli 414
Gujarat 80606
