(u'Dakshin Dinajpur', u'F') 694
(u'Thiruvananthapuram', u'F') 1371
(u'Cooch Behar', u'F') 1133
(u'Hyderabad', u'F') 2192
(u'East Singhbhum', u'F') 827
(u'Rae Bareli', u'F') 1151
(u'Sukma', u'F') 58
(u'Lucknow', u'F') 3846
(u'Jalpaiguri', u'F') 2003
(u'Mamit', u'F') 233
(u'Mathura', u'F') 1977
(u'Imphal West', u'F') 389
(u'Deoghar', u'F') 319
(u'Beed', u'F') 1068
(u'Cachar', u'F') 339
(u'Ariyalur', u'F') 208
(u'Pakur', u'F') 253
(u'Dharwad', u'F') 728
(u'Mon', u'F') 219
(u'Jaintia Hills', u'F') 1378
(u'Gwalior', u'F') 882
(u'Indore', u'F') 1956
(u'West Sikkim', u'F') 38
(u'Senapati', u'F') 594
(u'Bikaner', u'F') 1607
(u'Nagaur', u'F') 1969
(u'Mahasamund', u'F') 223
(u'Hanumangarh', u'F') 622
(u'Ballari', u'F') 1049
(u'Ratlam', u'F') 386
(u'Kangra', u'F') 218
(u'Sundergarh', u'F') 1248
(u'Munger', u'F') 1171
(u'Chikkaballapur', u'F') 372
(u'Karaikal', u'F') 111
(u'Udaipur', u'F') 1578
(u'Shahdol', u'F') 372
(u'Visakhapatnam', u'F') 1059
(u'Haveri', u'F') 851
(u'Lalitpur', u'F') 419
(u'Thane', u'F') 2846
(u'Hapur', u'F') 205
(u'Sirmaur', u'F') 164
(u'Sheopur', u'F') 375
(u'Krishnagiri', u'F') 738
(u'The Dangs', u'F') 67
(u'Kheri', u'F') 1500
(u'Mahabubnagar', u'F') 639
(u'Bangalore Rural', u'F') 475
(u'Bhiwani', u'F') 217
(u'Patna', u'F') 3906
(u'Yavatmal', u'F') 1100
(u'Virudhunagar', u'F') 468
(u'Bemetara', u'F') 174
(u'Kargil', u'F') 232
(u'Shimla', u'F') 216
(u'Morbi', u'F') 527
(u'Sonbhadra', u'F') 335
(u'Bhojpur', u'F') 4289
(u'Devbhumi Dwarka', u'F') 409
(u'Kheda', u'F') 1312
(u'Pithoragarh', u'F') 65
(u'Kishtwar', u'F') 117
(u'West Jaintia Hills', u'F') 744
(u'Jhajjar', u'F') 141
(u'North Sikkim', u'F') 11
(u'South West Khasi Hills', u'F') 148
(u'South Tripura', u'F') 120
(u'Zunheboto', u'F') 59
(u'Gir Somnath', u'F') 345
(u'Kupwara', u'F') 1426
(u'Etah', u'F') 1228
(u'Dausa', u'F') 869
(u'Singrauli', u'F') 352
(u'Bhadrak', u'F') 633
(u'Goalpara', u'F') 57
(u'Paschim Medinipur', u'F') 3312
(u'North And Middle Andaman', u'F') 186
(u'Udalguri', u'F') 146
(u'Panchkula', u'F') 167
(u'Jhunjhunun', u'F') 1451
(u'Hojai', u'F') 32
(u'Coimbatore', u'F') 2297
(u'Tikamgarh', u'F') 665
(u'Davangere', u'F') 904
(u'Mau', u'F') 1512
(u'Budgam', u'F') 955
(u'Fatehgarh Sahib', u'F') 312
(u'Moradabad', u'F') 993
(u'Seraikela-Kharsawan', u'F') 275
(u'South Sikkim', u'F') 36
(u'Shivamogga', u'F') 1017
(u'Sitamarhi', u'F') 1810
(u'Mandsaur', u'F') 256
(u'Birbhum', u'F') 1664
(u'Khowai', u'F') 113
(u'West Tripura', u'F') 318
(u'Bharuch', u'F') 880
(u'Jajapur', u'F') 652
(u'Gurgaon', u'F') 607
(u'Tawang', u'F') 136
(u'Dhar', u'F') 920
(u'Tonk', u'F') 628
(u'Bareilly', u'F') 1643
(u'Perambalur', u'F') 108
(u'West Godavari', u'F') 712
(u'Firozabad', u'F') 1385
(u'Srikakulam', u'F') 526
(u'Dakshina Kannada', u'F') 1262
(u'Kottayam', u'F') 814
(u'Rohtas', u'F') 2405
(u'Prakasam', u'F') 591
(u'East Kameng', u'F') 114
(u'Ajmer', u'F') 1394
(u'Kokrajhar', u'F') 102
(u'Kurung Kumey', u'F') 100
(u'Aligarh', u'F') 1739
(u'Kinnaur', u'F') 13
(u'Nadia', u'F') 2810
(u'Jalgaon', u'F') 1873
(u'Puri', u'F') 543
(u'Chhindwara', u'F') 531
(u'Khandwa', u'F') 301
(u'Jagatsinghapur', u'F') 323
(u'Siddharthnagar', u'F') 1742
(u'Sagar', u'F') 779
(u'Punch', u'F') 1719
(u'Lahul and Spiti', u'F') 7
(u'Kamrup', u'F') 179
(u'Jalaun', u'F') 660
(u'East Delhi', u'F') 810
(u'Chamoli', u'F') 49
(u'Kapurthala', u'F') 408
(u'Malda', u'F') 1879
(u'Howrah', u'F') 2332
(u'Kanyakumari', u'F') 511
(u'Banka', u'F') 881
(u'North Goa', u'F') 319
(u'Dindigul', u'F') 801
(u'Malkangiri', u'F') 1011
(u'East Godavari', u'F') 1070
(u'Bharatpur', u'F') 2114
(u'Azamgarh', u'F') 2576
(u'Kannur', u'F') 2120
(u'Chamrajanagar', u'F') 494
(u'Jodhpur', u'F') 2292
(u'Bhavnagar', u'F') 972
(u'Banda', u'F') 408
(u'Ganjam', u'F') 1387
(u'Bankura', u'F') 1549
(u'Tehri Garhwal', u'F') 69
(u'Madhubani', u'F') 1989
(u'Patiala', u'F') 636
(u'Hassan', u'F') 723
(u'Ananthapuramu', u'F') 804
(u'Gandhinagar', u'F') 1227
(u'Mahisagar', u'F') 513
(u'Dhubri', u'F') 179
(u'Bastar', u'F') 179
(u'Ri Bhoi', u'F') 1076
(u'East Siang', u'F') 129
(u'Hardoi', u'F') 1311
(u'Anuppur', u'F') 211
(u'Bijnor', u'F') 769
(u'Baghpat', u'F') 772
(u'Rohtak', u'F') 164
(u'Balangir', u'F') 859
(u'Ganderbal', u'F') 599
(u'Moga', u'F') 520
(u'West Kameng', u'F') 143
(u'Dhamtari', u'F') 161
(u'Vadodara', u'F') 2617
(u'North Tripura', u'F') 152
(u'Vellore', u'F') 1489
(u'Meerut', u'F') 983
(u'Upper Subansiri', u'F') 186
(u'Ballia', u'F') 1436
(u'Rajkot', u'F') 1606
(u'Ferozepur', u'F') 323
(u'Hoshiarpur', u'F') 848
(u'Bengaluru', u'F') 9045
(u'Rewa', u'F') 856
(u'Ambedkar Nagar', u'F') 1702
(u'Namsai', u'F') 232
(u'Thoothukkudi', u'F') 393
(u'Barwani', u'F') 647
(u'Chittoor', u'F') 845
(u'Jehanabad', u'F') 854
(u'Sirohi', u'F') 627
(u'Sindhudurg', u'F') 351
(u'Korba', u'F') 225
(u'Chennai', u'F') 2634
(u'Agra', u'F') 2848
(u'Baleswar', u'F') 832
(u'Bulandshahr', u'F') 1854
(u'West Champaran', u'F') 2571
(u'Raipur', u'F') 806
(u'Osmanabad', u'F') 867
(u'Serchhip', u'F') 40
(u'SAS Nagar (Mohali)', u'F') 735
(u'Narmada', u'F') 373
(u'Yadgir', u'F') 572
(u'Lawngtlai', u'F') 452
(u'Namakkal', u'F') 670
(u'Surguja', u'F') 310
(u'Sitapur', u'F') 1222
(u'The Nilgiris', u'F') 290
(u'Mewat', u'F') 376
(u'North Delhi', u'F') 280
(u'Ambala', u'F') 150
(u'Narsinghpur', u'F') 352
(u'Ahmedabad', u'F') 5414
(u'West Siang', u'F') 155
(u'Baloda Bazar', u'F') 441
(u'Kota', u'F') 1129
(u'East Champaran', u'F') 5622
(u'Shrawasti', u'F') 1855
(u'Saharanpur', u'F') 754
(u'Kodagu', u'F') 299
(u'Saran', u'F') 2889
(u'Akola', u'F') 975
(u'Amritsar', u'F') 997
(u'Khammam', u'F') 553
(u'Pudukkottai', u'F') 546
(u'Jamnagar', u'F') 899
(u'Khargone', u'F') 763
(u'Lohardaga', u'F') 147
(u'Mahendragarh', u'F') 140
(u'Rudraprayag', u'F') 21
(u'Gariyaband', u'F') 90
(u'Palamu', u'F') 334
(u'Khorda', u'F') 811
(u'Gaya', u'F') 2970
(u'Wardha', u'F') 370
(u'Kurnool', u'F') 830
(u'Bishnupur', u'F') 349
(u'Angul', u'F') 573
(u'Faridabad', u'F') 600
(u'Leh', u'F') 163
(u'Chandauli', u'F') 722
(u'Karur', u'F') 521
(u'Jharsuguda', u'F') 312
(u'Imphal East', u'F') 577
(u'Palakkad', u'F') 1024
(u'Aurangabad', u'F') 3034
(u'Lakhisarai', u'F') 748
(u'Gadchiroli', u'F') 257
(u'Dibrugarh', u'F') 249
(u'Kulgam', u'F') 371
(u'Rajnandgaon', u'F') 374
(u'Gopalganj', u'F') 1940
(u'Panna', u'F') 330
(u'Gonda', u'F') 2322
(u'Sidhi', u'F') 588
(u'Doda', u'F') 237
(u'Dadra and Nagar Haveli', u'F') 167
(u'Godda', u'F') 231
(u'North East Delhi', u'F') 651
(u'Seoni', u'F') 234
(u'Kendujhar', u'F') 993
(u'Muzaffarnagar', u'F') 1347
(u'Tiruvallur', u'F') 2533
(u'Nellore', u'F') 1047
(u'Karimnagar', u'F') 573
(u'Kaushambi', u'F') 647
(u'Tiruchirappalli', u'F') 963
(u'Kohima', u'F') 158
(u'Ratnagiri', u'F') 647
(u'Latur', u'F') 637
(u'Arvalli', u'F') 444
(u'Karauli', u'F') 970
(u'Thrissur', u'F') 2181
(u'Ramgarh', u'F') 202
(u'Hathras', u'F') 924
(u'Baksa', u'F') 66
(u'Dimapur', u'F') 202
(u'Mandya', u'F') 807
(u'Ukhrul', u'F') 280
(u'Rajgarh', u'F') 767
(u'Valsad', u'F') 684
(u'Sultanpur', u'F') 1319
(u'Ganganagar', u'F') 857
(u'Ahmadnagar', u'F') 1246
(u'Jhabua', u'F') 673
(u'Giridih', u'F') 716
(u'Koderma', u'F') 169
(u'Yamuna Nagar', u'F') 159
(u'Kalaburagi', u'F') 1403
(u'Dungarpur', u'F') 412
(u'Fatehpur', u'F') 2388
(u'Erode', u'F') 902
(u'Sheohar', u'F') 511
(u'East Garo Hills', u'F') 586
(u'Palghar', u'F') 1565
(u'Amreli', u'F') 620
(u'Khunti', u'F') 109
(u'Kanpur Dehat', u'F') 452
(u'Burhanpur', u'F') 421
(u'Belagavi', u'F') 2215
(u'Kozhikode', u'F') 1168
(u'Durg', u'F') 392
(u'Reasi', u'F') 336
(u'Supaul', u'F') 1645
(u'Dharmapuri', u'F') 589
(u'Porbandar', u'F') 210
